date,Agropecuária,Indústria,Infraestrutura,Comércio e serviços,Total
2010 Q3,3689.536342167713,78989.76263981275,21886.776911624984,12593.257450280842,117159.33334388628
2010 Q4,4988.511074081118,23363.88801387349,26646.12127716995,12719.686474385773,67718.20683951033
2011 Q1,3472.9445268085606,12699.696758429514,16510.25810406718,8053.643185865351,40736.542575170606
2011 Q2,4476.716960672651,17636.41555320608,18515.921788277836,8733.429741421178,49362.484043577744
2011 Q3,3694.0120410368545,15490.290603827027,26133.714656286003,12073.783637741486,57391.80093889138
2011 Q4,3980.3678650995403,24162.580270804996,28420.95111401171,17624.83794061566,74188.73719053192
2012 Q1,3433.528728844812,9990.085782535318,15379.166683815518,9101.0610290805,37903.842224276144
2012 Q2,3390.7861193805757,13537.827825411185,15542.841542962953,11991.749440330235,44463.204928084946
2012 Q3,4539.960725445901,27543.10613129047,16539.77579246771,13488.7207497557,62111.563398959785
2012 Q4,5844.245383600332,21107.72982102987,32460.763530201,31757.49341402515,91170.23214885635
2013 Q1,6960.5095760149115,19800.460053868886,13475.550227177739,13828.082042884775,54064.60189994631
2013 Q2,6960.95236690986,22359.716357954596,26002.020176186998,18488.250425819122,73810.93932687058
2013 Q3,5290.824317553954,16758.62185435415,20892.25703107383,18442.016056046923,61383.71925902886
2013 Q4,7481.755014952443,23978.118872696876,28302.166526007688,22823.125049664537,82585.16546332155
2014 Q1,5646.337350091331,17189.17236513188,21373.973227509792,15868.89461273613,60078.37755546913
2014 Q2,4624.544386286973,13113.059414724376,20805.88823337845,15993.197195776924,54536.689230166725
2014 Q3,5982.489416355462,18049.0525687912,22235.422999462746,14770.8524710948,61037.81745570421
2014 Q4,6312.956003849282,18966.60576420238,28189.54238687986,23232.247637534463,76701.35179246598
2015 Q1,4546.246864384539,13299.606156736067,14883.45311946687,9707.63828242536,42436.94442301284
2015 Q2,4798.185787490346,12226.176372138321,17881.195928611483,9238.43113949441,44143.989227734564
2015 Q3,3502.3605063978066,9071.258750156936,11506.998272296316,7299.527223123862,31380.144751974924
2015 Q4,4101.81710281639,10961.34238687838,23195.607760549887,11270.485778417295,49529.25302866195
2016 Q1,3655.43018300933,6314.250268815238,6707.404635784931,4275.485237645202,20952.570325254703
2016 Q2,3991.636235678574,7283.76465677998,8171.841511674509,5698.110195349892,25145.352599482954
2016 Q3,3233.7620058685875,11175.354412025232,5717.428863603619,4698.35368412379,24824.89896562123
2016 Q4,4880.926362745028,9333.389507536693,8796.008924753016,6083.457879957271,29093.78267499201
2017 Q1,3701.8991057431144,3468.9789122299107,5576.557057771867,3919.5650760812905,16667.00015182618
2017 Q2,3897.1272391864677,4249.078305024641,7844.446892849444,4312.310139631607,20302.96257669216
2017 Q3,3843.039727045527,4538.408758474963,6324.8933140929785,3336.5231904542816,18042.86499006775
2017 Q4,4327.711030661435,4244.150347775462,9673.55081043975,4312.009911565816,22557.42210044246
2018 Q1,2925.668073349167,1847.7381639619284,4377.2844088948405,2854.5301249622644,12005.2207711682
2018 Q2,3242.948686884179,3606.6676329405245,7413.451034633271,3411.6808430701176,17674.74819752809
2018 Q3,3800.8612819964997,3148.0360947339445,6853.526375044189,2805.297683350431,16607.721435125066
2018 Q4,5504.388758215457,4379.284353598218,13441.671809198562,3524.7281411042077,26850.073062116448
2019 Q1,3662.2326752132994,2681.342262496829,7202.546549929428,1439.0989802501485,14985.220467889703
2019 Q2,2877.271210306677,2241.75360810861,4590.878131214906,1209.333120499268,10919.23607012946
2019 Q3,3908.2409294269064,1571.396728786735,5995.393456826729,1609.5872330775412,13084.61834811791
2019 Q4,5731.980601950115,2498.934544939921,7120.849590844762,2084.253208858187,17436.017946592983
